#LIBRARY    ENDF/B-VIII.1
#REACTION   NA-23(N,G)NA-24,SIG
#NUCLEUS    Na-23
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 30.1122     0.0157175    Lin-Lin
 33.2148     0.0149881    Lin-Lin
 37.1541     0.0142001    Lin-Lin
 41.2694     0.0134974    Lin-Lin
 46.1639     0.0127854    Lin-Lin
 50.5663     0.0122417    Lin-Lin
 55.7765     0.0117192    Lin-Lin
 61.5235     0.011217     Lin-Lin
 67.8627     0.010739     Lin-Lin
 75.3794     0.0102466    Lin-Lin
 83.1463     0.00980629   Lin-Lin
 93.6634     0.0093013    Lin-Lin
 101.163     0.00898997   Lin-Lin
 113.161     0.00858757   Lin-Lin
 123.084     0.00830047   Lin-Lin
 135.767     0.00797158   Lin-Lin
 151.868     0.00761653   Lin-Lin
 167.516     0.00734957   Lin-Lin
 183.492     0.00710536   Lin-Lin
 200.98      0.00687032   Lin-Lin
 229.596     0.00659476   Lin-Lin
 260.449     0.00634406   Lin-Lin
 299.617     0.00607303   Lin-Lin
 356.952     0.00584627   Lin-Lin
 402.102     0.00569686   Lin-Lin
 503.136     0.00554938   Lin-Lin
 596.289     0.00553079   Lin-Lin
 598.373     0.00553532   Lin-Lin
 601.051     0.00558174   Lin-Lin
 604.206     0.0055942    Lin-Lin
 671.1       0.00564225   Lin-Lin
 740.248     0.00573379   Lin-Lin
 816.521     0.00588072   Lin-Lin
 888.123     0.00606146   Lin-Lin
 966.004     0.00630677   Lin-Lin
 1036.1      0.0065762    Lin-Lin
 1100.85     0.00686537   Lin-Lin
 1167.55     0.00721146   Lin-Lin
 1226.25     0.00756298   Lin-Lin
 1283.66     0.0079486    Lin-Lin
 1338.76     0.00837081   Lin-Lin
 1396.22     0.00886362   Lin-Lin
 1444.85     0.00933641   Lin-Lin
 1484.39     0.00975983   Lin-Lin
 1530.44     0.0102996    Lin-Lin
 1579.01     0.0109421    Lin-Lin
 1624.53     0.0116115    Lin-Lin
 1670.69     0.0123755    Lin-Lin
 1711.09     0.0131204    Lin-Lin
 1748.72     0.0138908    Lin-Lin
 1786.36     0.0147448    Lin-Lin
 1823.99     0.0156913    Lin-Lin
 1861.62     0.0167491    Lin-Lin
 1899.26     0.0179296    Lin-Lin
 1929.36     0.0189791    Lin-Lin
 1959.47     0.020134     Lin-Lin
 1989.58     0.0214088    Lin-Lin
 2019.69     0.0228202    Lin-Lin
 2049.79     0.0243879    Lin-Lin
 2071.36     0.0256188    Lin-Lin
 2102.34     0.0275755    Lin-Lin
 2124.51     0.0291165    Lin-Lin
 2147.64     0.0308835    Lin-Lin
 2170.22     0.0327649    Lin-Lin
 2192.8      0.0348428    Lin-Lin
 2215.38     0.0371178    Lin-Lin
 2237.96     0.0396448    Lin-Lin
 2260.54     0.0424265    Lin-Lin
 2278.5      0.0448593    Lin-Lin
 2298.9      0.0479086    Lin-Lin
 2313.23     0.0502286    Lin-Lin
 2328.28     0.0528511    Lin-Lin
 2347.1      0.0564035    Lin-Lin
