#LIBRARY    INDEN-Aug2023
#REACTION   MN-55(N,G)MN-56,SIG
#NUCLEUS    Mn-55
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     6e+07
#E,eV        Sig,b        Interpolation
 54.6152     0.384011     Lin-Lin
 61.0925     0.376244     Lin-Lin
 68.3381     0.370453     Lin-Lin
 75.9111     0.367145     Lin-Lin
 83.4639     0.366206     Lin-Lin
 94.0212     0.368337     Lin-Lin
 105.172     0.374044     Lin-Lin
 114.395     0.381371     Lin-Lin
 124.426     0.392167     Lin-Lin
 133.455     0.404765     Lin-Lin
 142.135     0.419616     Lin-Lin
 150.328     0.436351     Lin-Lin
 157.886     0.454471     Lin-Lin
 165.817     0.476635     Lin-Lin
 172.935     0.499712     Lin-Lin
 179.103     0.522363     Lin-Lin
 185.483     0.549128     Lin-Lin
 192.099     0.580675     Lin-Lin
 197.557     0.610047     Lin-Lin
 203.171     0.644021     Lin-Lin
 208.944     0.683402     Lin-Lin
 213.376     0.717424     Lin-Lin
 217.913     0.756134     Lin-Lin
 222.536     0.800225     Lin-Lin
 227.267     0.851008     Lin-Lin
 230.473     0.889135     Lin-Lin
 233.725     0.931249     Lin-Lin
 237.022     0.978096     Lin-Lin
 240.366     1.03023      Lin-Lin
 243.757     1.08859      Lin-Lin
 247.196     1.15423      Lin-Lin
 250.684     1.22819      Lin-Lin
 252.44      1.26878      Lin-Lin
 256.001     1.35837      Lin-Lin
 258.71      1.43435      Lin-Lin
 261.444     1.51893      Lin-Lin
 264.204     1.61291      Lin-Lin
 266.99      1.7185       Lin-Lin
 269.815     1.83755      Lin-Lin
 272.667     1.97252      Lin-Lin
 274.577     2.07232      Lin-Lin
 276.514     2.18224      Lin-Lin
 278.451     2.30197      Lin-Lin
 280.415     2.43463      Lin-Lin
 282.379     2.58004      Lin-Lin
 284.366     2.7418       Lin-Lin
 286.353     2.92032      Lin-Lin
 288.28      3.11163      Lin-Lin
 290.206     3.32364      Lin-Lin
 292.133     3.55908      Lin-Lin
 294.06      3.8216       Lin-Lin
 295.505     4.03876      Lin-Lin
 296.951     4.27559      Lin-Lin
 298.396     4.53446      Lin-Lin
 299.841     4.81813      Lin-Lin
 301.286     5.12977      Lin-Lin
 302.731     5.47305      Lin-Lin
 304.176     5.85224      Lin-Lin
 305.622     6.27232      Lin-Lin
 307.067     6.73913      Lin-Lin
 308.512     7.25942      Lin-Lin
 309.957     7.83973      Lin-Lin
 310.921     8.26603      Lin-Lin
 311.884     8.72735      Lin-Lin
 312.847     9.22703      Lin-Lin
 313.811     9.76907      Lin-Lin
 314.774     10.358       Lin-Lin
 315.738     10.9991      Lin-Lin
 316.701     11.698       Lin-Lin
 317.665     12.4595      Lin-Lin
 318.628     13.2925      Lin-Lin
 319.592     14.2041      Lin-Lin
 320.555     15.2029      Lin-Lin
 321.579     16.3701      Lin-Lin
 322.392     17.3826      Lin-Lin
 323.205     18.4779      Lin-Lin
 324.017     19.6629      Lin-Lin
 324.83      20.9444      Lin-Lin
 325.643     22.3293      Lin-Lin
 326.456     23.8239      Lin-Lin
 327.269     25.4339      Lin-Lin
 328.082     27.1639      Lin-Lin
