#LIBRARY    IRDF-2002G
#REACTION   AL-27(N,A)NA-24,SIG
#NUCLEUS    Al-27
#MF         3
#MT         107
#EN-MIN     3.2e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1.02E+07    0.090446     Lin-Lin
 1.02E+07    0.0915755    Lin-Lin
 1.03E+07    0.0915755    Lin-Lin
 1.03E+07    0.093818     Lin-Lin
 1.04E+07    0.093818     Lin-Lin
 1.04E+07    0.096246     Lin-Lin
 1.05E+07    0.096246     Lin-Lin
 1.05E+07    0.098674     Lin-Lin
 1.06E+07    0.098674     Lin-Lin
 1.06E+07    0.101102     Lin-Lin
 1.07E+07    0.101102     Lin-Lin
 1.07E+07    0.103424     Lin-Lin
 1.08E+07    0.103424     Lin-Lin
 1.08E+07    0.10511      Lin-Lin
 1.09E+07    0.10511      Lin-Lin
 1.09E+07    0.10669      Lin-Lin
 1.1E+07     0.10669      Lin-Lin
 1.1E+07     0.10827      Lin-Lin
 1.11E+07    0.10827      Lin-Lin
 1.11E+07    0.10985      Lin-Lin
 1.12E+07    0.10985      Lin-Lin
 1.12E+07    0.111329     Lin-Lin
 1.13E+07    0.111329     Lin-Lin
 1.13E+07    0.1122       Lin-Lin
 1.14E+07    0.1122       Lin-Lin
 1.14E+07    0.11297      Lin-Lin
 1.15E+07    0.11297      Lin-Lin
 1.15E+07    0.11374      Lin-Lin
 1.16E+07    0.11374      Lin-Lin
 1.16E+07    0.11451      Lin-Lin
 1.17E+07    0.11451      Lin-Lin
 1.17E+07    0.115325     Lin-Lin
 1.18E+07    0.115325     Lin-Lin
 1.18E+07    0.116409     Lin-Lin
 1.19E+07    0.116409     Lin-Lin
 1.19E+07    0.117538     Lin-Lin
 1.2E+07     0.117538     Lin-Lin
 1.2E+07     0.118667     Lin-Lin
 1.21E+07    0.118667     Lin-Lin
 1.21E+07    0.119796     Lin-Lin
 1.22E+07    0.119796     Lin-Lin
 1.22E+07    0.120802     Lin-Lin
 1.23E+07    0.120802     Lin-Lin
 1.23E+07    0.121688     Lin-Lin
 1.24E+07    0.121688     Lin-Lin
 1.24E+07    0.122572     Lin-Lin
 1.25E+07    0.122572     Lin-Lin
 1.25E+07    0.123457     Lin-Lin
 1.26E+07    0.123457     Lin-Lin
 1.26E+07    0.12415      Lin-Lin
 1.27E+07    0.12415      Lin-Lin
 1.27E+07    0.12465      Lin-Lin
 1.28E+07    0.12465      Lin-Lin
 1.28E+07    0.12515      Lin-Lin
 1.29E+07    0.12515      Lin-Lin
 1.29E+07    0.125095     Lin-Lin
 1.3E+07     0.125095     Lin-Lin
 1.3E+07     0.124485     Lin-Lin
 1.31E+07    0.124485     Lin-Lin
 1.31E+07    0.124885     Lin-Lin
 1.32E+07    0.124885     Lin-Lin
 1.32E+07    0.126295     Lin-Lin
 1.33E+07    0.126295     Lin-Lin
 1.33E+07    0.12662      Lin-Lin
 1.34E+07    0.12662      Lin-Lin
 1.34E+07    0.125875     Lin-Lin
 1.35E+07    0.125875     Lin-Lin
 1.35E+07    0.125448     Lin-Lin
 1.36E+07    0.125448     Lin-Lin
 1.36E+07    0.124875     Lin-Lin
 1.37E+07    0.124875     Lin-Lin
 1.37E+07    0.12384      Lin-Lin
 1.38E+07    0.12384      Lin-Lin
 1.38E+07    0.122775     Lin-Lin
 1.39E+07    0.122775     Lin-Lin
 1.39E+07    0.12258      Lin-Lin
 1.4E+07     0.12258      Lin-Lin
 1.4E+07     0.122205     Lin-Lin
 1.41E+07    0.122205     Lin-Lin
 1.41E+07    0.12151      Lin-Lin
 1.42E+07    0.12151      Lin-Lin
 1.42E+07    0.120425     Lin-Lin
 1.43E+07    0.120425     Lin-Lin
 1.43E+07    0.11808      Lin-Lin
 1.44E+07    0.11808      Lin-Lin
 1.44E+07    0.116098     Lin-Lin
 1.45E+07    0.116098     Lin-Lin
 1.45E+07    0.114772     Lin-Lin
 1.46E+07    0.114772     Lin-Lin
 1.46E+07    0.1133       Lin-Lin
 1.47E+07    0.1133       Lin-Lin
 1.47E+07    0.112195     Lin-Lin
 1.48E+07    0.112195     Lin-Lin
 1.48E+07    0.11102      Lin-Lin
 1.49E+07    0.11102      Lin-Lin
 1.49E+07    0.109686     Lin-Lin
 1.5E+07     0.109686     Lin-Lin
 1.5E+07     0.108778     Lin-Lin
 1.51E+07    0.108778     Lin-Lin
 1.51E+07    0.107871     Lin-Lin
 1.52E+07    0.107871     Lin-Lin
 1.52E+07    0.106744     Lin-Lin
 1.53E+07    0.106744     Lin-Lin
 1.53E+07    0.105083     Lin-Lin
 1.54E+07    0.105083     Lin-Lin
 1.54E+07    0.103397     Lin-Lin
 1.55E+07    0.103397     Lin-Lin
 1.55E+07    0.101711     Lin-Lin
 1.56E+07    0.101711     Lin-Lin
 1.56E+07    0.100026     Lin-Lin
 1.57E+07    0.100026     Lin-Lin
 1.57E+07    0.0983605    Lin-Lin
 1.58E+07    0.0983605    Lin-Lin
 1.58E+07    0.096818     Lin-Lin
 1.59E+07    0.096818     Lin-Lin
 1.59E+07    0.095296     Lin-Lin
 1.6E+07     0.095296     Lin-Lin
 1.6E+07     0.093774     Lin-Lin
 1.61E+07    0.093774     Lin-Lin
 1.61E+07    0.092252     Lin-Lin
 1.62E+07    0.092252     Lin-Lin
 1.62E+07    0.090685     Lin-Lin
 1.63E+07    0.090685     Lin-Lin
