#LIBRARY    ENDF/B-VIII.1
#REACTION   S-32(N,P)P-32,SIG
#NUCLEUS    S-32
#MF         3
#MT         103
#EN-MIN     957541
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 3.94E+06    0.21711      Lin-Lin
 3.96E+06    0.23575      Lin-Lin
 4E+06       0.27497      Lin-Lin
 4.02E+06    0.30288      Lin-Lin
 4.04E+06    0.31908      Lin-Lin
 4.06E+06    0.33017      Lin-Lin
 4.08E+06    0.33844      Lin-Lin
 4.1E+06     0.34485      Lin-Lin
 4.12E+06    0.3498       Lin-Lin
 4.14E+06    0.35344      Lin-Lin
 4.16E+06    0.35585      Lin-Lin
 4.18E+06    0.35703      Lin-Lin
 4.2E+06     0.35698      Lin-Lin
 4.22E+06    0.35574      Lin-Lin
 4.24E+06    0.35339      Lin-Lin
 4.26E+06    0.35004      Lin-Lin
 4.3E+06     0.34103      Lin-Lin
 4.42E+06    0.30812      Lin-Lin
 4.46E+06    0.29843      Lin-Lin
 4.5E+06     0.28999      Lin-Lin
 4.54E+06    0.28279      Lin-Lin
 4.6E+06     0.274        Lin-Lin
 4.66E+06    0.26715      Lin-Lin
 4.72E+06    0.26178      Lin-Lin
 4.8E+06     0.25632      Lin-Lin
 4.9E+06     0.25156      Lin-Lin
 5E+06       0.24875      Lin-Lin
 5.08E+06    0.24799      Lin-Lin
 5.16E+06    0.24879      Lin-Lin
 5.22E+06    0.25064      Lin-Lin
 5.28E+06    0.25373      Lin-Lin
 5.34E+06    0.25818      Lin-Lin
 5.4E+06     0.26405      Lin-Lin
 5.48E+06    0.27385      Lin-Lin
 5.7E+06     0.30516      Lin-Lin
 5.78E+06    0.31461      Lin-Lin
 5.86E+06    0.32185      Lin-Lin
 5.94E+06    0.32686      Lin-Lin
 6E+06       0.32941      Lin-Lin
 6.1E+06     0.33194      Lin-Lin
 6.2E+06     0.33255      Lin-Lin
 6.7E+06     0.32916      Lin-Lin
 6.8E+06     0.32893      Lin-Lin
 7E+06       0.32968      Lin-Lin
 7.1E+06     0.33118      Lin-Lin
 7.2E+06     0.33369      Lin-Lin
 7.5E+06     0.34401      Lin-Lin
 7.6E+06     0.3446       Lin-Lin
 7.7E+06     0.3426       Lin-Lin
 7.8E+06     0.33924      Lin-Lin
 7.9E+06     0.33693      Lin-Lin
 8E+06       0.33607      Lin-Lin
 8.2E+06     0.33708      Lin-Lin
 8.5E+06     0.3409       Lin-Lin
 8.9E+06     0.34832      Lin-Lin
 9.4E+06     0.36007      Lin-Lin
 9.8E+06     0.37151      Lin-Lin
 1.02E+07    0.38482      Lin-Lin
 1.05E+07    0.39222      Lin-Lin
 1.07E+07    0.39534      Lin-Lin
 1.09E+07    0.39658      Lin-Lin
 1.11E+07    0.39573      Lin-Lin
 1.13E+07    0.39274      Lin-Lin
 1.15E+07    0.38771      Lin-Lin
 1.17E+07    0.38083      Lin-Lin
 1.2E+07     0.36766      Lin-Lin
 1.23E+07    0.35198      Lin-Lin
 1.28E+07    0.3228       Lin-Lin
 1.36E+07    0.27478      Lin-Lin
 1.41E+07    0.24651      Lin-Lin
 1.45E+07    0.22547      Lin-Lin
 1.49E+07    0.20599      Lin-Lin
 1.52E+07    0.19243      Lin-Lin
 1.55E+07    0.17976      Lin-Lin
 1.58E+07    0.16797      Lin-Lin
 1.61E+07    0.15704      Lin-Lin
 1.64E+07    0.14694      Lin-Lin
 1.67E+07    0.13762      Lin-Lin
 1.7E+07     0.12906      Lin-Lin
 1.73E+07    0.12122      Lin-Lin
 1.76E+07    0.11405      Lin-Lin
 1.79E+07    0.10753      Lin-Lin
 1.82E+07    0.1016       Lin-Lin
 1.85E+07    0.096242     Lin-Lin
 1.88E+07    0.091406     Lin-Lin
 1.91E+07    0.087058     Lin-Lin
 1.94E+07    0.083166     Lin-Lin
 1.97E+07    0.079695     Lin-Lin
 2E+07       0.076615     Lin-Lin
#END
