#LIBRARY    INDEN-Aug2023
#REACTION   CU-63(N,G)CU-64,SIG
#NUCLEUS    Cu-63
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 35.3753     0.0961165    Lin-Lin
 38.4775     0.0905783    Lin-Lin
 41.8516     0.0852492    Lin-Lin
 45.5217     0.0801182    Lin-Lin
 49.1691     0.0755934    Lin-Lin
 53.1062     0.0712611    Lin-Lin
 57.3614     0.0670667    Lin-Lin
 61.5235     0.0634209    Lin-Lin
 66.4498     0.0595506    Lin-Lin
 71.2714     0.0561838    Lin-Lin
 76.9821     0.0526247    Lin-Lin
 81.9895     0.0498355    Lin-Lin
 87.9387     0.0468474    Lin-Lin
 93.6634     0.0442935    Lin-Lin
 99.062      0.0420988    Lin-Lin
 105.506     0.0397224    Lin-Lin
 112.374     0.0374646    Lin-Lin
 118.851     0.0355433    Lin-Lin
 125.701     0.0336885    Lin-Lin
 134.822     0.0315017    Lin-Lin
 143.592     0.0296521    Lin-Lin
 151.868     0.028077     Lin-Lin
 161.755     0.0264134    Lin-Lin
 171.078     0.0250197    Lin-Lin
 182.206     0.0235534    Lin-Lin
 192.708     0.022334     Lin-Lin
 202.398     0.0213423    Lin-Lin
 212.564     0.0204122    Lin-Lin
 223.252     0.0195405    Lin-Lin
 236.12      0.0186359    Lin-Lin
 247.981     0.0179233    Lin-Lin
 260.285     0.0172913    Lin-Lin
 273.189     0.0167416    Lin-Lin
 284.916     0.0163347    Lin-Lin
 299.242     0.0159536    Lin-Lin
 312.087     0.0157238    Lin-Lin
 323.186     0.0156019    Lin-Lin
 333.503     0.0155664    Lin-Lin
 347.182     0.0156382    Lin-Lin
 357.047     0.0157854    Lin-Lin
 367.193     0.0160337    Lin-Lin
 374.627     0.0162963    Lin-Lin
 381.668     0.0166386    Lin-Lin
 386.215     0.0169529    Lin-Lin
 388.657     0.0171842    Lin-Lin
 391.099     0.0175034    Lin-Lin
 392.708     0.0178117    Lin-Lin
 393.781     0.0181008    Lin-Lin
 394.585     0.0183906    Lin-Lin
 395.39      0.0187811    Lin-Lin
 396.033     0.019207     Lin-Lin
 396.515     0.0196281    Lin-Lin
 396.997     0.0201797    Lin-Lin
 397.319     0.0206514    Lin-Lin
 397.641     0.0212409    Lin-Lin
 397.882     0.0217873    Lin-Lin
 398.094     0.022368     Lin-Lin
 398.293     0.023018     Lin-Lin
 398.491     0.0238044    Lin-Lin
 398.69      0.0247719    Lin-Lin
 398.822     0.0255496    Lin-Lin
 398.955     0.0264661    Lin-Lin
 399.069     0.0274048    Lin-Lin
 399.166     0.0283336    Lin-Lin
 399.264     0.0294201    Lin-Lin
 399.361     0.0307108    Lin-Lin
 399.434     0.0318517    Lin-Lin
 399.506     0.033182     Lin-Lin
 399.579     0.0347517    Lin-Lin
 399.628     0.0359627    Lin-Lin
 399.676     0.0373327    Lin-Lin
 399.725     0.0388905    Lin-Lin
 399.773     0.0406701    Lin-Lin
 399.812     0.0422804    Lin-Lin
 399.856     0.0443226    Lin-Lin
 399.9       0.0466457    Lin-Lin
 399.943     0.0492937    Lin-Lin
 399.987     0.0523167    Lin-Lin
 400.031     0.0557713    Lin-Lin
 400.06      0.0583452    Lin-Lin
 400.089     0.0611594    Lin-Lin
 400.118     0.0642359    Lin-Lin
 400.147     0.0675981    Lin-Lin
 400.177     0.0712709    Lin-Lin
 400.206     0.0752802    Lin-Lin
 400.235     0.0796537    Lin-Lin
 400.264     0.0844202    Lin-Lin
 400.297     0.0902387    Lin-Lin
 400.329     0.0966266    Lin-Lin
 400.362     0.103628     Lin-Lin
 400.394     0.11129      Lin-Lin
 400.427     0.119656     Lin-Lin
 400.459     0.128773     Lin-Lin
 400.492     0.138687     Lin-Lin
 400.524     0.149442     Lin-Lin
 400.557     0.16108      Lin-Lin
 400.589     0.173641     Lin-Lin
 400.622     0.187163     Lin-Lin
 400.654     0.201678     Lin-Lin
 400.687     0.217212     Lin-Lin
 400.719     0.233787     Lin-Lin
 400.752     0.251418     Lin-Lin
 400.797     0.277395     Lin-Lin
 400.833     0.300134     Lin-Lin
 400.882     0.332488     Lin-Lin
 400.931     0.367068     Lin-Lin
 400.98      0.40371      Lin-Lin
 401.039     0.451132     Lin-Lin
 401.125     0.522837     Lin-Lin
 401.307     0.6793       Lin-Lin
 401.385     0.742765     Lin-Lin
 401.453     0.79325      Lin-Lin
 401.521     0.837856     Lin-Lin
 401.573     0.867224     Lin-Lin
 401.625     0.891624     Lin-Lin
 401.677     0.910543     Lin-Lin
 401.734     0.924541     Lin-Lin
 401.786     0.930763     Lin-Lin
 401.812     0.931522     Lin-Lin
 401.863     0.928376     Lin-Lin
 401.893     0.923779     Lin-Lin
 401.95      0.909257     Lin-Lin
 402.002     0.889899     Lin-Lin
 402.054     0.865104     Lin-Lin
 402.106     0.835395     Lin-Lin
 402.157     0.80228      Lin-Lin
 402.226     0.75185      Lin-Lin
 402.304     0.68916      Lin-Lin
 402.46      0.555519     Lin-Lin
 402.564     0.467546     Lin-Lin
 402.635     0.411051     Lin-Lin
 402.679     0.377245     Lin-Lin
 402.724     0.345109     Lin-Lin
 402.768     0.314781     Lin-Lin
 402.817     0.283763     Lin-Lin
 402.866     0.255101     Lin-Lin
