material message,1.39E-11,3.78E-11,1.03E-10,2.79E-10,7.58E-10,2.06E-09,5.60E-09,1.52E-08,4.14E-08,1.13E-07,3.06E-07,8.32E-07,2.26E-06,1.67E-05,4.54E-05,1.23E-04,3.35E-04,9.12E-04,2.48E-03,6.74E-03,1.83E-02,4.98E-02,1.35E-01,3.68E-01,1.00E+00,1.21E+00,1.34E+00,1.48E+00,1.63E+00,1.79E+00,1.97E+00,2.18E+00,2.40E+00,2.64E+00,2.91E+00,3.21E+00,3.54E+00,3.90E+00,4.30E+00,4.73E+00,5.22E+00,5.75E+00,6.34E+00,6.98E+00,7.70E+00,8.48E+00,9.35E+00,1.03E+01,1.14E+01,1.25E+01,1.38E+01,1.52E+01,1.67E+01,1.85E+01,2.03E+01,2.24E+01,2.47E+01,2.72E+01,2.90E+01,3.00E+01,Measured Activity (Bq),Activity Error (Bq)
Au-197,0,0.585268179,0.358435424,0.219521518,0.131472632,0.078425803,0.048068049,0.029502587,0.017801229,0.011029391,0.007042502,0.004824287,0.004711603,0.621910837,8.00E-05,0.024672994,0.009092399,0.004760013,0.001960744,0.000421255,0.000203831,0.000103708,6.65E-05,4.18E-05,2.04E-05,1.39E-05,1.32E-05,1.27E-05,1.22E-05,1.14E-05,1.00E-05,8.96E-06,7.20E-06,6.12E-06,4.95E-06,4.19E-06,3.30E-06,2.69E-06,2.11E-06,1.72E-06,1.32E-06,1.07E-06,8.15E-07,5.70E-07,2.80E-07,1.55E-07,1.84E-07,2.47E-07,2.94E-07,3.24E-07,2.91E-07,2.01E-07,1.04E-07,4.63E-08,2.31E-08,1.18E-08,6.23E-09,3.62E-09,2.37E-09,1.79E-09,33834.63756,0
Fe-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92E-13,1.11E-12,2.67E-10,2.11E-08,2.90E-07,1.76E-06,8.96E-06,2.80E-05,4.21E-05,5.84E-05,7.93E-05,9.85E-05,0.000119946,0.000148494,0.000171937,0.000196578,0.000190184,0.000143915,0.000104986,8.45E-05,6.38E-05,5.50E-05,4.87E-05,4.58E-05,4.08E-05,14.77295986,0
Al-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-11,7.25E-10,2.14E-09,3.81E-09,8.72E-09,8.05E-08,1.10E-06,8.10E-06,3.85E-05,9.79E-05,0.000176843,0.000284362,0.000361094,0.000431306,0.000489159,0.000521603,0.000485863,0.000400953,0.000285637,0.000197518,0,0,0,0,0,34.91880941,0
Ni-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01E-07,1.05E-06,1.46E-06,1.74E-06,3.10E-06,4.20E-06,4.98E-06,1.01E-05,1.37E-05,1.97E-05,2.46E-05,3.49E-05,3.93E-05,4.50E-05,5.13E-05,5.62E-05,6.47E-05,7.34E-05,7.66E-05,7.82E-05,7.93E-05,7.94E-05,7.75E-05,7.65E-05,7.13E-05,6.29E-05,4.07E-05,2.40E-05,1.53E-05,4.60E-06,0,0,0,0,0,20.77556385,0
Fe-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38E-09,1.21E-08,3.67E-08,6.25E-08,9.66E-08,1.72E-07,3.07E-07,7.34E-07,1.29E-06,1.80E-06,3.18E-06,4.06E-06,5.30E-06,6.46E-06,8.89E-06,1.11E-05,1.30E-05,1.43E-05,1.51E-05,1.55E-05,1.56E-05,1.57E-05,1.58E-05,1.59E-05,1.56E-05,1.48E-05,1.28E-05,9.74E-06,6.72E-06,4.46E-06,3.20E-06,2.47E-06,1.98E-06,1.73E-06,1.44E-06,1.30E-06,4.094779265,0
Cu-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62E-12,3.03E-12,2.93E-11,4.83E-11,2.76E-10,4.63E-10,2.46E-09,5.96E-09,1.04E-08,2.84E-08,6.35E-08,1.35E-07,2.38E-07,4.00E-07,5.82E-07,7.57E-07,1.11E-06,1.34E-06,1.64E-06,1.81E-06,1.89E-06,1.74E-06,1.36E-06,9.25E-07,4.73E-07,0,0,0,0,0,0.150762788,0
Ti-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35E-11,3.94E-10,2.59E-08,1.12E-07,6.66E-07,2.46E-06,5.04E-06,1.06E-05,1.69E-05,2.64E-05,3.88E-05,5.35E-05,6.85E-05,8.08E-05,8.14E-05,7.37E-05,5.95E-05,5.11E-05,0,0,0,0,0,4.362395803,0
Na-23,0,0.086655104,0.053069282,0.032500678,0.01946265,0.011606163,0.007107652,0.004352758,0.002610751,0.001562372,0.000956913,0.000585774,0.000357456,0.000173785,8.12E-05,5.18E-05,3.50E-05,2.79E-05,0.000148247,0.000413447,0.000104976,0.000539161,0.000202771,8.03E-05,2.92E-06,1.11E-06,1.05E-06,1.03E-06,1.02E-06,9.84E-07,9.60E-07,9.30E-07,9.06E-07,8.77E-07,8.64E-07,8.48E-07,8.21E-07,8.01E-07,7.84E-07,7.84E-07,7.92E-07,8.00E-07,8.11E-07,8.17E-07,8.25E-07,8.38E-07,8.47E-07,8.65E-07,8.74E-07,9.05E-07,9.72E-07,1.08E-06,1.14E-06,1.17E-06,1.19E-06,0,0,0,0,0,713.1538848,0
Co-59,0,0.001143522,0.000700316,0.000428888,0.000256837,0.000153163,9.38E-05,5.75E-05,3.45E-05,2.06E-05,1.27E-05,7.78E-06,4.81E-06,2.51E-06,1.56E-06,1.83E-05,0.000144902,7.53E-08,4.91E-07,1.49E-06,3.93E-07,1.05E-07,5.45E-08,9.70E-09,6.21E-09,5.67E-09,4.75E-09,4.31E-09,3.69E-09,3.15E-09,2.84E-09,2.58E-09,2.26E-09,1.99E-09,1.57E-09,1.24E-09,9.21E-10,7.21E-10,6.30E-10,5.66E-10,5.42E-10,5.34E-10,5.38E-10,5.46E-10,5.77E-10,6.27E-10,6.93E-10,7.82E-10,8.47E-10,9.42E-10,1.03E-09,1.06E-09,8.94E-10,6.17E-10,4.20E-10,0,0,0,0,0,10.48825189,0
S-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53E-11,1.69E-09,1.26E-08,1.12E-07,6.44E-07,1.77E-06,7.21E-06,1.73E-05,1.88E-05,2.26E-05,3.43E-05,4.10E-05,4.32E-05,6.95E-05,6.51E-05,5.62E-05,6.00E-05,7.31E-05,7.38E-05,7.55E-05,7.58E-05,7.72E-05,8.34E-05,8.84E-05,8.34E-05,6.70E-05,5.07E-05,3.78E-05,2.66E-05,1.92E-05,0,0,0,0,0,22.58682767,0
