#LIBRARY    ENDF/B-VIII.1
#REACTION   AU-197(N,G)AU-198,SIG
#NUCLEUS    Au-197
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 3.9812      200.791      Lin-Lin
 4.00919     212.806      Lin-Lin
 4.03737     226.086      Lin-Lin
 4.06575     240.821      Lin-Lin
 4.09433     257.238      Lin-Lin
 4.12311     275.609      Lin-Lin
 4.14485     290.88       Lin-Lin
 4.16659     307.51       Lin-Lin
 4.18863     325.933      Lin-Lin
 4.21067     346.128      Lin-Lin
 4.23282     368.44       Lin-Lin
 4.25518     393.301      Lin-Lin
 4.27753     420.851      Lin-Lin
 4.3001      451.799      Lin-Lin
 4.32277     486.564      Lin-Lin
 4.33788     512.08       Lin-Lin
 4.3531      539.908      Lin-Lin
 4.36842     570.343      Lin-Lin
 4.38375     603.486      Lin-Lin
 4.39908     639.674      Lin-Lin
 4.41451     679.591      Lin-Lin
 4.43006     723.779      Lin-Lin
 4.4456      772.519      Lin-Lin
 4.46114     826.455      Lin-Lin
 4.47606     883.809      Lin-Lin
 4.49035     944.641      Lin-Lin
 4.50464     1012.08      Lin-Lin
 4.51893     1087.12      Lin-Lin
 4.53289     1168.92      Lin-Lin
 4.54312     1234.92      Lin-Lin
 4.55335     1306.73      Lin-Lin
 4.56357     1385.06      Lin-Lin
 4.5738      1470.72      Lin-Lin
 4.58403     1564.65      Lin-Lin
 4.59425     1667.93      Lin-Lin
 4.60448     1781.85      Lin-Lin
 4.61471     1907.9       Lin-Lin
 4.62493     2047.85      Lin-Lin
 4.63516     2203.8       Lin-Lin
 4.64539     2378.22      Lin-Lin
 4.65221     2506.22      Lin-Lin
 4.65902     2644.76      Lin-Lin
 4.66584     2795.02      Lin-Lin
 4.67266     2958.3       Lin-Lin
 4.67948     3136.11      Lin-Lin
 4.6863      3330.15      Lin-Lin
 4.69243     3520.26      Lin-Lin
 4.70061     3799.45      Lin-Lin
 4.70607     4003.85      Lin-Lin
 4.71152     4224.56      Lin-Lin
 4.71698     4463.22      Lin-Lin
 4.72243     4721.64      Lin-Lin
 4.72789     5001.83      Lin-Lin
 4.73334     5305.97      Lin-Lin
 4.74016     5723.52      Lin-Lin
 4.74527     6066.79      Lin-Lin
 4.75039     6438.46      Lin-Lin
 4.7555      6841.02      Lin-Lin
 4.76061     7277.07      Lin-Lin
 4.76684     7857.63      Lin-Lin
 4.77308     8496.74      Lin-Lin
 4.77931     9199.08      Lin-Lin
 4.78554     9968.89      Lin-Lin
 4.79058     10643.4      Lin-Lin
 4.79562     11365.6      Lin-Lin
 4.80235     12403.5      Lin-Lin
 4.80907     13525.8      Lin-Lin
 4.81584     14736.4      Lin-Lin
 4.82266     16027.4      Lin-Lin
 4.83288     18064.5      Lin-Lin
 4.84788     21116.3      Lin-Lin
 4.85606     22705.6      Lin-Lin
 4.86425     24157.3      Lin-Lin
 4.87038     25113.8      Lin-Lin
 4.87536     25784.9      Lin-Lin
 4.88123     26435        Lin-Lin
 4.8871      26914.8      Lin-Lin
 4.89297     27209.7      Lin-Lin
 4.89766     27306.2      Lin-Lin
 4.89941     27310        Lin-Lin
 4.90534     27192.8      Lin-Lin
 4.91035     26939.5      Lin-Lin
 4.91536     26550.8      Lin-Lin
 4.92037     26035.4      Lin-Lin
 4.92697     25182.9      Lin-Lin
 4.93311     24237.1      Lin-Lin
 4.93924     23172.3      Lin-Lin
 4.94743     21618.1      Lin-Lin
 4.97265     16515.2      Lin-Lin
 4.97947     15197        Lin-Lin
 4.98629     13945        Lin-Lin
 4.99311     12771        Lin-Lin
 4.99992     11681.9      Lin-Lin
 5.00674     10680.5      Lin-Lin
 5.01186     9986.7       Lin-Lin
 5.01697     9340.84      Lin-Lin
 5.02208     8741.17      Lin-Lin
 5.0272      8185.54      Lin-Lin
 5.03231     7671.51      Lin-Lin
 5.03742     7196.51      Lin-Lin
 5.04254     6757.86      Lin-Lin
 5.04765     6352.94      Lin-Lin
 5.05276     5979.14      Lin-Lin
 5.05788     5634.01      Lin-Lin
 5.06299     5315.18      Lin-Lin
 5.06913     4964.22      Lin-Lin
 5.07577     4619.13      Lin-Lin
 5.08242     4306.64      Lin-Lin
 5.08907     4023.14      Lin-Lin
 5.09572     3765.45      Lin-Lin
 5.10015     3606.57      Lin-Lin
 5.10697     3380.35      Lin-Lin
 5.11379     3174.03      Lin-Lin
 5.1206      2985.46      Lin-Lin
 5.12742     2812.73      Lin-Lin
 5.13424     2654.18      Lin-Lin
 5.14106     2508.35      Lin-Lin
 5.14788     2373.95      Lin-Lin
 5.15469     2249.84      Lin-Lin
 5.16151     2135.02      Lin-Lin
 5.17174     1978.31      Lin-Lin
 5.18197     1837.95      Lin-Lin
 5.19219     1711.78      Lin-Lin
 5.20242     1597.98      Lin-Lin
 5.21265     1495         Lin-Lin
 5.22287     1401.53      Lin-Lin
 5.2331      1316.44      Lin-Lin
 5.24333     1238.77      Lin-Lin
 5.25355     1167.68      Lin-Lin
 5.26378     1102.47      Lin-Lin
 5.27484     1037.84      Lin-Lin
 5.2859      978.663      Lin-Lin
 5.29696     924.345      Lin-Lin
 5.30801     874.37       Lin-Lin
 5.32276     813.723      Lin-Lin
 5.33612     763.991      Lin-Lin
 5.34947     718.622      Lin-Lin
 5.36283     677.125      Lin-Lin
 5.37619     639.076      Lin-Lin
 5.38955     604.107      Lin-Lin
 5.40352     570.497      Lin-Lin
 5.41779     538.94       Lin-Lin
 5.43205     509.898      Lin-Lin
 5.45108     474.641      Lin-Lin
 5.4701      442.865      Lin-Lin
 5.4894      413.74       Lin-Lin
 5.50869     387.352      Lin-Lin
 5.52798     363.372      Lin-Lin
 5.54728     341.517      Lin-Lin
 5.56684     321.278      Lin-Lin
 5.58641     302.758      Lin-Lin
 5.60597     285.771      Lin-Lin
 5.62554     270.151      Lin-Lin
 5.64538     255.562      Lin-Lin
 5.66522     242.106      Lin-Lin
 5.68506     229.668      Lin-Lin
 5.71497     212.633      Lin-Lin
 5.74515     197.26       Lin-Lin
 5.77533     183.467      Lin-Lin
 5.8058      170.934      Lin-Lin
 5.83641     159.567      Lin-Lin
 5.86701     149.278      Lin-Lin
 5.89805     139.808      Lin-Lin
 5.92909     131.195      Lin-Lin
 5.96028     123.304      Lin-Lin
 5.99176     116.026      Lin-Lin
 6.02323     109.362      Lin-Lin
 6.05501     103.189      Lin-Lin
 6.08693     97.4882      Lin-Lin
 6.11885     92.2372      Lin-Lin
 6.16202     85.7721      Lin-Lin
 6.20518     79.9499      Lin-Lin
 6.24895     74.6181      Lin-Lin
 6.29272     69.7916      Lin-Lin
 6.33711     65.3507      Lin-Lin
 6.3815      61.3122      Lin-Lin
 6.42652     57.5782      Lin-Lin
 6.47153     54.1671      Lin-Lin
 6.51718     51.0013      Lin-Lin
 6.56283     48.0991      Lin-Lin
 6.60913     45.3961      Lin-Lin
 6.65542     42.9096      Lin-Lin
 6.70237     40.5863      Lin-Lin
 6.74932     38.443       Lin-Lin
 6.79693     36.4349      Lin-Lin
 6.84454     34.5762      Lin-Lin
 6.91696     32.0034      Lin-Lin
 6.99007     29.6806      Lin-Lin
 7.06386     27.5778      Lin-Lin
 7.13834     25.6693      Lin-Lin
 7.21387     23.9249      Lin-Lin
 7.29011     22.3349      Lin-Lin
 7.36707     20.8828      Lin-Lin
 7.44475     19.5525      Lin-Lin
 7.52352     18.3263      Lin-Lin
 7.60304     17.1996      Lin-Lin
 7.6833      16.1625      Lin-Lin
 7.76431     15.2062      Lin-Lin
 7.84647     14.3189      Lin-Lin
 7.9294      13.4984      Lin-Lin
 8.0131      12.7387      Lin-Lin
 8.09759     12.0343      Lin-Lin
 8.18327     11.3766      Lin-Lin
 8.26976     10.7651      Lin-Lin
 8.38643     10.0142      Lin-Lin
 8.50475     9.32923      Lin-Lin
 8.62474     8.7031       Lin-Lin
 8.74642     8.12975      Lin-Lin
 8.86981     7.60381      Lin-Lin
 8.99495     7.12094      Lin-Lin
 9.12185     6.67617      Lin-Lin
 9.25055     6.26615      Lin-Lin
 9.38105     5.88767      Lin-Lin
 9.5134      5.53783      Lin-Lin
 9.64762     5.21403      Lin-Lin
 9.78373     4.91394      Lin-Lin
 9.92176     4.63549      Lin-Lin
 10.0617     4.3768       Lin-Lin
 10.2037     4.13615      Lin-Lin
 10.3476     3.91211      Lin-Lin
 10.4936     3.7033       Lin-Lin
 10.6417     3.50857      Lin-Lin
 10.7918     3.32736      Lin-Lin
 10.9441     3.15722      Lin-Lin
 11.0985     2.99801      Lin-Lin
 11.3339     2.77784      Lin-Lin
 11.5749     2.57786      Lin-Lin
 11.8204     2.39658      Lin-Lin
 12.0717     2.23086      Lin-Lin
 12.3278     2.07997      Lin-Lin
 12.5899     1.94174      Lin-Lin
 12.8569     1.81549      Lin-Lin
 13.1303     1.69949      Lin-Lin
 13.4088     1.59326      Lin-Lin
 13.6939     1.49547      Lin-Lin
 13.9844     1.40558      Lin-Lin
 14.2817     1.32254      Lin-Lin
 14.5847     1.24611      Lin-Lin
 14.8948     1.17536      Lin-Lin
 15.2107     1.11009      Lin-Lin
 15.5341     1.04953      Lin-Lin
